id,name_hu,name_latin,category,region,era,period,epoch,mya_min,mya_max,height_m_min,height_m_max,length_m_min,length_m_max,weight_kg_min,weight_kg_max,discovery_year,discoverer_name,description_hu,rarity,created_at,updated_at,taxonomy_group,pack_number,education_level,edu,height_m_est,height_m_est_max,height_m_est_min,taxonomy_hu,diet_hu,diet_eng,latin_name_end
dc7a6678-3503-4e1b-8f74-485c01ee2799,Eustreptospondylus,Eustreptospondylus oxoniensis,dinosaur,Európa,Mezozoikum,Jura,középső-jura,165,164.0,2.66,1.75,7,4.6,null,200.0,1870,"James Phillips munkásai, leírta Alick Walker","Ennek a jura időszaki megalosaurida ragadozónak egy fiatal egyedének majdnem teljes csontvázát találták meg, amely tengeri eredetű üledékben őrződött meg. A kutatók szerint a tetem valószínűleg a folyókon keresztül juthatott ki a nyílt tengerbe, mielőtt elsüllyedt és lerakódott az iszapba. A leletnek köszönhetően az egyik legjobban ismert európai megalosaurida vált belőle, annak ellenére, hogy csak egy fiatalkori egyed maradványait sikerült feltárni.",common,2026-06-28 05:04:05.68662+00,2026-06-28 05:04:05.68662+00,"Saurischia (Theropoda, Megalosauridae)",4,középiskola,2,1.75,1.75,2.66,"Saurischia (Theropodák, Megalosauridák)",ragadozó,carnivore,oxoniensis
ba667812-e2d3-47d9-968e-3fc8d6bf3629,Thecodontosaurus,Thecodontosaurus,dinosaur,Európa,Mezozoikum,Triász,késő-triász,227,205,0.83,null,2.5,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,0.83,null,ismeretlen,unknown,
d8af8b94-930f-42bf-ba0a-5878599462ad,Telmatosaurus,Telmatosaurus transsylvanicus,dinosaur,Kárpát-medence,Mezozoikum,Kréta,késő-kréta,84,70,1.75,1.75,5,5.0,null,null,1895,Nopcsa Ilona és Báró Nopcsa Ferenc,"Ez az elsőként felfedezett és leírt dinoszauruszfaj a dél-erdélyi Hátszegi-medence területéről, amelynek maradványai a 19. század végén kerültek elő. A kacsacsőrű növényevők közé tartozó állat koponyatöredékei és csontjai egykor egy elszigetelt, mocsaras trópusi szigetvilágban halmozódtak fel. Kiváló példája a térségre jellemző primitív morfológiának, amely a hosszas szigeti elszigeteltségnek köszönhetően maradhatott fenn.",common,2026-06-28 04:57:47.338575+00,2026-06-28 04:57:47.338575+00,"Ornithischia (Ornithopoda, Hadrosauroidea)",1,általános iskola,1,1.75,1.75,1.75,"Ornithischia (Madárlábúak, Kacsacsőrű dinoszaurusz-alkatúak)",növényevő,herbivore,transsylvanicus
519eb4ea-d125-4fd5-83c4-03f59f70d0f5,Zalmoxes,Zalmoxes robustus,dinosaur,Kárpát-medence,Mezozoikum,Kréta,késő-kréta,70,69,1.05,1.0,3,3.0,null,100.0,1899,Báró Nopcsa Ferenc,"A robusztus felépítésű növényevő maradványait Báró Nopcsa Ferenc gyűjtötte be Erdélyben a 19. és 20. század fordulóján. Az elszigetelt szárazföldi környezet miatt ez a rhabdodontida formakör is jelentős méretcsökkenésen ment keresztül az évmilliók során. Nopcsa ezen leletek alapján ismerte fel elsőként az evolúcióbiológiában a szigeti törpülés jelenségét, megalapozva ezzel a modern paleobiológiai kutatásokat.",common,2026-06-28 04:57:47.338575+00,2026-06-28 04:57:47.338575+00,"Ornithischia (Ornithopoda, Rhabdodontidae)",2,általános iskola,1,null,null,1.05,"Ornithischia (Madárlábúak, Rhabdodontidák)",növényevő,herbivore,robustus
7ce798c2-bd08-417f-a395-707bdd0fd143,Gigantoraptor,Gigantoraptor erlianensis,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,85,85,2.64,2.94,8.0,8.9,null,null,2005,Xu Xing,"A legnagyobb ismert oviraptoroszaurusz, amelynek mérete egy Albertosaurushoz mérhető.",rare,2026-06-30 04:46:58.828164+00,2026-06-30 04:46:58.828164+00,null,2,doktori,4,2.94,2.94,2.64,null,ismeretlen,unknown,erlianensis
b7c6ddc0-942f-4c38-bb27-0a5ea2054d61,Scipionyx,Scipionyx samniticus,dinosaur,Európa,Mezozoikum,Kréta,kora-kréta,113.0,112,0.76,0.19,2,0.5,null,null,1980,"amatőr fosszíliagyűjtő, leírta Cristiano Dal Sasso","Egy apró theropoda, amelynek egyetlen ismert, kikelés után rövid idővel elpusztult egyedének fosszíliájában a belső szervek, az izomzat és a bélrendszer lenyomatai is épségben megmaradtak. Ez a 'Ciro' becenevű lelet az egyik legritkább és legértékesebb dinoszaurusz-fosszília, amely betekintést enged a dinoszauruszok belső anatómiájába. Az olaszországi lelőhely finom üledéke tette lehetővé a puha szövetek ilyen kivételes megőrződését.",common,2026-06-28 05:04:05.68662+00,2026-06-28 05:04:05.68662+00,"Saurischia (Theropoda, Compsognathidae)",4,középiskola,2,0.19,0.19,0.76,"Saurischia (Theropodák, Compsognathidák)",ragadozó,carnivore,samniticus
7f557972-0211-4d82-a623-a272d11280c5,Qantassaurus,Qantassaurus intrepidus,dinosaur,Ázsia,Mezozoikum,Kréta,kora-kréta,115,115,0.46,0.59,1.4,1.8,null,null,1999,Patricia Vickers-Rich & Tom Rich,"Egy kisméretű ornithopoda, amely nevét az ausztrál Qantas légitársaságról kapta.",common,2026-06-30 04:46:58.828164+00,2026-06-30 04:46:58.828164+00,null,1,doktori,4,0.59,0.59,0.46,null,ismeretlen,unknown,intrepidus
798e4f14-8b4f-4ad6-8c0d-5fab5a16e0c3,Bugenasaura,Bugenasaura,dinosaur,Észak-Amerika,Mezozoikum,null,null,65,65,null,null,null,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,100,null,null,null,null,ismeretlen,unknown,
a95d8ec3-0760-46be-9a83-fff96ba79f51,Barilium,Barilium,dinosaur,Európa,Mezozoikum,Kréta,kora-kréta,141,137,2.64,3.30,8,10,3500,null,1880,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,3.30,3.30,2.64,null,ismeretlen,unknown,
13b57baa-0741-480b-be86-6aef428b2cf4,Avimimus,Avimimus,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,80,75,0.50,null,1.5,null,null,null,1981,Sergei Kurzanov,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,0.50,null,ismeretlen,unknown,
3e63acc4-70b8-4ee2-a745-79f49b538cc7,Alectrosaurus,Alectrosaurus,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,90,70,1.65,null,5,null,null,null,1933,Charles Whitney Gilmore,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,1.65,null,ismeretlen,unknown,
1fcabf88-af64-46bc-b1bf-ad7aa5b777c4,Talarurus,Talarurus,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,99,89,1.98,null,6,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,1.98,null,ismeretlen,unknown,
f9945299-0629-4c01-8c77-03608faaa4e9,Dravidosaurus,Dravidosaurus,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,89,86,0.99,null,3,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,0.99,null,ismeretlen,unknown,
bc1961e7-2e35-4a2f-9676-4fdec107cb57,Hungarosaurus,Hungarosaurus tormai,dinosaur,Kárpát-medence,Mezozoikum,Kréta,késő-kréta,85,85,1.00,1.13,4.0,4.5,null,null,2000,Torma András és Ősi Attila csapata,"A leleteket a Bakony hegységben található iharkúti bauxitbányában fedezték fel az ezredforduló után végzett rendszeres ásatások során. Ez a páncélos, csontos tüskékkel védett növényevő állat a lelőhely messze leggyakoribb és legjobban dokumentált dinoszauruszfajta. A maradványai alapján a kutatóknak sikerült szinte teljesen rekonstruálniuk a faj csontvázát és egykori életmódját.",common,2026-06-28 04:57:47.338575+00,2026-06-28 04:57:47.338575+00,"Ornithischia (Ankylosauria, Nodosauridae)",3,általános iskola,1,1.13,1.13,1.00,"Ornithischia (Páncélos dinoszauruszok, Nodosauridák)",növényevő,herbivore,tormai
5b8e3eb1-612b-4302-9cb6-415a5c3452d8,Baryonyx,Baryonyx walkeri,dinosaur,Európa,Mezozoikum,Kréta,kora-kréta,130.0,125.0,3.80,3.04,10,8.0,2000,1800.0,1983,William Walker amatőr fosszíliagyűjtő,"Ezt a halászó életmódra specializálódott, krokodilszerűen megnyúlt koponyával rendelkező ragadozót egy amatőr fosszíliagyűjtő találta meg egy angliai agyagbányában. Hatalmas, sarló alakú karmai és kónikus fogai a halászatra utalnak, amit a csontváz gyomortartalmában talált halpikkelyek és maradványok is megerősítettek. Ez volt az első olyan dinoszaurusz, amelynél közvetlen bizonyíték került elő a halétrendre.",common,2026-06-28 05:04:05.68662+00,2026-06-28 05:04:05.68662+00,"Saurischia (Theropoda, Spinosauridae)",4,középiskola,2,3.04,3.04,3.80,"Saurischia (Theropodák, Spinosauridák)",halevő,piscivore,walkeri
7c989831-cf8c-4f8d-9625-8a9268f16f02,Alioramus,Alioramus remotus,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,70,70,1.65,1.98,5.0,6.0,null,null,1976,Sergei Kurzanov,"Mongóliából származó tyrannosaurida, amelyet hosszú orra és a pofáján lévő taréjok sora jellemzett.",rare,2026-06-30 04:46:58.828164+00,2026-06-30 04:46:58.828164+00,null,2,doktori,4,1.98,1.98,1.65,null,ismeretlen,unknown,remotus
0e2b2c47-b7bb-459f-977b-196fecda951f,Australovenator,Australovenator wintonensis,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,98,95,1.65,1.98,5.0,6.0,500,1000,2009,Scott Hocknull,"Egy viszonylag könnyű testfelépítésű, rendkívül gyors theropoda, amelyet Queenslandben fedeztek fel és 'kora gepárdjának' is neveznek.",rare,2026-06-30 04:46:58.828164+00,2026-06-30 04:46:58.828164+00,null,2,doktori,4,1.98,1.98,1.65,null,ismeretlen,unknown,wintonensis
a0b8fe3e-f03a-4afa-a1bf-660b49580461,Tarbosaurus,Tarbosaurus bataar,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,70,70,3.30,3.96,10.0,12.0,null,null,1955,Evgeny Maleev,"Mongóliában és Kínában élt hatalmas csúcsragadozó, a Tyrannosaurus rex közeli rokona, amely a Nemegt-formáció legfőbb ragadozója volt.",legendary,2026-06-30 04:46:58.828164+00,2026-06-30 04:46:58.828164+00,null,4,doktori,4,3.96,3.96,3.30,null,ismeretlen,unknown,bataar
ccb971df-367d-4e0f-9b10-497596c979ed,Kentrosaurus,Kentrosaurus aethiopicus,dinosaur,Afrika,Mezozoikum,Jura,késő-jura,155,152.0,2.00,1.80,5,4.5,null,1000.0,1909,"Edwin Hennig és a német Tendaguru-expedíció, 1909–1912 (leírás: 1915)","Ez a kistermetű, négy lábon járó stegosaurida testének hátsó felét és farkát sűrűn borították hosszú, hegyes csontos tüskék, amelyek hatékony védelmet nyújtottak a kortárs nagytestű ragadozók ellen. Neve görögül ""szúrós gyíkot"" jelent, utalva a farok végén ülő, párban elhelyezkedő, kiugró tüskesorra, amelyet a védekezés mellett feltehetően párzási idényben vizuális jelzésre is használt. A Giraffatitannal és a Tendaguru-domb más nagyszabású leleteivel egy időben, ugyanabból a kelet-afrikai lelőhelyből került elő, amely a 20. század elejének egyik legjelentősebb afrikai dinoszaurusz-lelőhelye volt.",common,2026-06-28 05:03:00.009612+00,2026-06-28 05:03:00.009612+00,"Ornithischia (Thyreophora, Stegosauria)",2,egyetem,3,1.80,1.80,2.00,"Ornithischia (Páncélos dinoszauruszok, Stegoszauruszok)",növényevő,herbivore,aethiopicus
20c7c71e-0122-41b2-9e33-eef8d632b2aa,Isisaurus,Isisaurus,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,71,65,null,null,null,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,null,null,ismeretlen,unknown,
54a60655-55b1-4b68-9a2d-41775c581a16,Albertaceratops,Albertaceratops,dinosaur,Észak-Amerika,Mezozoikum,Kréta,késő-kréta,80,75,2.31,null,7,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,100,null,null,2.31,null,ismeretlen,unknown,
e5316cfa-4af8-4665-8e29-bf12aa15f19f,Rhabdodon,Rhabdodon,dinosaur,Európa,Mezozoikum,Kréta,késő-kréta,76,70,1.32,null,4,null,null,null,1869,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,1.32,null,ismeretlen,unknown,
2c7e2dfb-dfac-4ad9-b977-fad74c375ce4,Ornithomimus,Ornithomimus,dinosaur,Észak-Amerika,Mezozoikum,Kréta,késő-kréta,74,65,1.32,null,4,null,null,null,1890,Othniel Charles Marsh,"An Ornithomimus egy rendkívül gyors, struccszerű theropoda dinoszaurusz volt, amely a késő kréta időszakban népesítette be Észak-Amerika vidékeit. Fogatlan, madárszerű csőrrel, megnyúlt nyakkal és kifejezetten hosszú, vékony hátsó végtagokkal rendelkezett, amelyek kiváló futóvá tették. A kutatók szerint áramvonalas testével és hosszú farkával képes volt akár az 50-70 km/h-s sebességet is elérni menekülés közben. Mindenevőként valószínűleg növényeket, gyümölcsöket, rovarokat és kisebb jaquárokat, gyíkokat egyaránt elfogyasztott.",common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,2,bonus,5,null,null,1.32,null,ismeretlen,unknown,
43f89df5-6df6-4769-b496-18e6b9e6889b,Corythosaurus,Corythosaurus,dinosaur,Észak-Amerika,Mezozoikum,Kréta,késő-kréta,76,74,3.30,null,10,null,null,null,1914,Barnum Brown,"A Corythosaurus egy nagyméretű, kacsacsőrű (hadrosaurida) növényevő dinoszaurusz volt, amely a késő kréta időszakban élt Észak-Amerikában. Legfőbb jellegzetessége a feje tetején látható, korinthoszi sisakra emlékeztető, üreges csontos taréj volt, amelyről a nevét is kapta. Ez a taréj az orrüreghez kapcsolódott, és a legújabb vizsgálatok szerint hangos, mély frekvenciájú jelzések kibocsátására, valamint a fajtársak felismerésére szolgált. Körülbelül 9 méter hosszúra nőtt, csordákban élt, és rágós növényekkel táplálkozott, miközben veszély esetén két lábra állva menekült el.",common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,2,bonus,5,null,null,3.30,null,ismeretlen,unknown,
83b7a6dd-615d-4457-b509-d67b865498e4,Nemegtosaurus,Nemegtosaurus,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,72,68,4.29,null,13,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,4.29,null,ismeretlen,unknown,
334e3895-4534-4fb2-9c03-f7612c789fcd,Liaoceratops,Liaoceratops,dinosaur,Ázsia,Mezozoikum,Kréta,kora-kréta,127,121,null,null,null,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,null,null,ismeretlen,unknown,
68e12dbe-d5c3-4240-88fb-7e61812b860b,Bakonydraco,Bakonydraco galaczi,pterosaur,Kárpát-medence,Mezozoikum,Kréta,késő-kréta,85,85,null,null,null,null,null,null,2000,Iharkúti kutatócsoport,"Egy azhdarchida családba tartozó repülő hüllő, amelynek állkapcsában nem voltak fogak, hanem madárszerű, szarukávával borított csőre volt — ezzel halakat, gyümölcsöket és tetemeket is megragadhatott. Az eddig előkerült közel 80 állkapocstöredék alapján a Bakonydraco egyedei igen gyakoriak lehettek az iharkúti folyóágak és tavak vidékén, akár a mai vízimadarakhoz hasonló tömegben. Neve a Bakony hegységre (""a Bakony sárkánya"") és Galácz András professzorra utal.",rare,2026-06-28 05:30:51.768033+00,2026-06-28 05:30:51.768033+00,Pterosauria (Azhdarchidae),3,általános iskola,1,null,null,null,Pterosauria (Azhdarchidák),ragadozó,carnivore,galaczi
9128b909-796d-4884-a2a0-a07c4ea327c5,Yingshanosaurus,Yingshanosaurus,dinosaur,Ázsia,Mezozoikum,Jura,késő-jura,159,142,null,null,null,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,null,null,ismeretlen,unknown,
2a169209-0b3b-4c21-b623-8f8465fd8505,Velociraptor,Velociraptor mongoliensis,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,75,71,0.59,0.66,1.8,2.0,7,15,1923,Peter Kaisen,"Mongóliában és Kínában felfedezett, tollas ragadozó, amelynek egyes példányainál a tollak tapadási pontjait is azonosították.",rare,2026-06-30 04:46:58.828164+00,2026-06-30 04:46:58.828164+00,null,2,doktori,4,0.66,0.66,0.59,null,ismeretlen,unknown,mongoliensis
e4721105-0acb-42d5-b622-19f2b940f495,Borogovia,Borogovia,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,84,65,0.50,null,1.5,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,0.50,null,ismeretlen,unknown,
f4297253-aa89-4801-a3cc-4a937c510989,Bagaceratops,Bagaceratops,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,85,80,0.33,null,1,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,0.33,null,ismeretlen,unknown,
ab52083e-d6db-4f94-8487-426351aed7dd,Compsognathus,Compsognathus longipes,dinosaur,Európa,Mezozoikum,Jura,késő-jura,150.0,145,0.25,0.42,0.65,1.1,3.6,3.0,1857,Andreas Wagner,"Ez az apró, fürge ragadozó a híres solnhofeni mészkőből került elő, ugyanabból a finom szemcséjű üledékből, amely az Archaeopteryx csontvázait is megőrizte. A szinte tökéletes állapotban fennmaradt csontvázak révén sokáig az egyik legkisebb ismert dinoszauruszként tartották számon. Gyors mozgású, apró gerinces zsákmányra (gyíkokra, rovarokra) specializálódott ragadozó volt.",common,2026-06-28 05:04:05.68662+00,2026-06-28 05:04:05.68662+00,"Saurischia (Theropoda, Compsognathidae)",1,középiskola,2,0.42,0.42,0.25,"Saurischia (Theropodák, Compsognathidák)",ragadozó,carnivore,longipes
c89867a3-12a7-4a3c-a213-2777cd4152c6,Segnosaurus,Segnosaurus,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,97,88,1.32,null,4,null,null,null,1979,Altangerel Perle,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,1.32,null,ismeretlen,unknown,
3c0748cb-ae4f-4de8-add8-73de996aa663,Miragaia,Miragaia longicollum,dinosaur,Európa,Mezozoikum,Jura,késő-jura,150.0,150.0,null,2.40,null,6.0,1000.0,3000.0,2009,Octávio Mateus csapata,"Egy egyedi megjelenésű stegosauria, amelynek nyaka a csoportra jellemző átlagosnál jóval hosszabbra nyúlt, mintegy 17 nyakcsigolyával a megszokott 12-13 helyett. Ez a felfedezés alapjaiban megkérdőjelezte azt a korábbi elképzelést, hogy a stegosauriák kizárólag alacsonyan növő növényzettel táplálkoztak. Háta mentén a csoportra jellemző csontos lemezek és tüskék sora húzódott végig.",common,2026-06-28 05:04:05.68662+00,2026-06-28 05:04:05.68662+00,Ornithischia (Stegosauria),1,középiskola,2,2.40,2.40,null,Ornithischia (Stegoszauruszok),növényevő,herbivore,longicollum
21ea2b58-c371-4fd9-a9fc-0911fae6b098,Zuniceratops,Zuniceratops,dinosaur,Észak-Amerika,Mezozoikum,Kréta,késő-kréta,94,89,null,null,null,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,100,null,null,null,null,ismeretlen,unknown,
68bbac4c-4d7c-4db9-ace5-322b89c68fa4,Conchoraptor,Conchoraptor,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,81,76,0.50,null,1.5,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,0.50,null,ismeretlen,unknown,
801e59bc-7672-4a8e-bf9a-38b57a78823b,Goyocephale,Goyocephale,dinosaur,Ázsia,Mezozoikum,Kréta,késő-kréta,81,75,0.66,null,2,null,null,null,null,null,null,common,2026-06-30 05:45:11.276302+00,2026-06-30 05:45:11.276302+00,null,100,bonus,null,null,null,0.66,null,ismeretlen,unknown,
75af243a-edc3-44ff-937b-a7c45cebe98c,Pneumatoraptor,Pneumatoraptor fodori,dinosaur,Kárpát-medence,Mezozoikum,Kréta,késő-kréta,85,85,null,null,null,null,null,null,2003,Iharkúti kutatócsoport,"Ezt a kistermetű, feltehetően tollas ragadozót egyetlen jellegzetes, üreges szerkezetű vállövcsont alapján azonosították a bakonyi ásatások leletanyagából. Nemzetségneve a madárszerűen könnyed, légzsákos csontozatra utal, amely a gyors és agilis mozgást segítette elő a sűrű növényzetben. Bár a csontváz többi része egyelőre ismeretlen, a lelet megerősíti, hogy a kréta időszaki magyarországi ökoszisztémában kistestű, intelligens vadászok is jelen voltak. (Méret: pulykanagyságú)",common,2026-06-28 04:57:47.338575+00,2026-06-28 04:57:47.338575+00,Saurischia (Theropoda),1,általános iskola,1,null,null,null,Saurischia (Theropodák),ragadozó,carnivore,fodori
